,학교ID,학교명,학교급구분,소재지지번주소,소재지도로명주소,위도,경도
1115,B000001838,서울휘경초등학교,초등학교,서울특별시 동대문구 휘경동 302-2,서울특별시 동대문구 망우로6길 48,37.58573583,127.0582142
1122,B000002059,서울당현초등학교,초등학교,서울특별시 노원구 상계동 742,서울특별시 노원구 동일로213길 52,37.64826016,127.0582136
1125,B000002091,서울세검정초등학교,초등학교,서울특별시 종로구 신영동 219-4,서울특별시 종로구 세검정로9길 1,37.60346883,126.9609387
1129,B000002387,경복초등학교,초등학교,서울특별시 광진구 능동 25,서울특별시 광진구 천호대로130길 58,37.54982961,127.0867934
1130,B000002388,성동초등학교,초등학교,서울특별시 광진구 자양동 694-1,서울특별시 광진구 자양로4길 63,37.53328137,127.089281
1131,B000002339,서울당곡초등학교,초등학교,서울특별시 관악구 봉천동 692-8,서울특별시 관악구 보라매로2길 23,37.49016812,126.9303698
1133,B000002389,서울돈암초등학교,초등학교,서울특별시 성북구 동소문동6가 27-1,서울특별시 성북구 동소문로13길 38,37.59371444,127.0131036
1135,B000002415,대광초등학교,초등학교,서울특별시 성북구 보문동7가 111,서울특별시 성북구 안암로 5,37.57915104,127.0234459
1137,B000002079,태강삼육초등학교,초등학교,서울특별시 노원구 공릉동 26-84,서울특별시 노원구 화랑로 815,37.64335737,127.1088503
1138,B000002102,서울흥인초등학교,초등학교,서울특별시 중구 신당동 292-66,서울특별시 중구 청구로6길 11,37.56087001,127.0145555
1140,B000002007,서울신대림초등학교,초등학교,서울특별시 영등포구 대림동 970-1,서울특별시 영등포구 대림로8길 25,37.49215682,126.9058543
1142,B000002375,서울동자초등학교,초등학교,서울특별시 광진구 자양동 518-1,서울특별시 광진구 뚝섬로 561,37.53505821,127.0721792
1143,B000001901,서울역촌초등학교,초등학교,서울특별시 은평구 역촌동 82-1,서울특별시 은평구 은평로3길 25,37.60158417,126.913928
1144,B000001955,서울고원초등학교,초등학교,서울특별시 구로구 고척동 66-26,서울특별시 구로구 경인로46길 13,37.49761122,126.8657993
1145,B000002009,서울문래초등학교,초등학교,서울특별시 영등포구 문래동3가 77-7,서울특별시 영등포구 문래로 104,37.51914038,126.8936057
1146,B000001966,서울신구로초등학교,초등학교,서울특별시 구로구 구로동 105,서울특별시 구로구 가마산로27길 69,37.49966003,126.8897631
1151,B000001848,서울전동초등학교,초등학교,서울특별시 동대문구 전농동 45-41,서울특별시 동대문구 전농로16길 61,37.57908329,127.0608053
1152,B000001886,서울갈현초등학교,초등학교,서울특별시 은평구 갈현동 451-15,서울특별시 은평구 연서로29길 31,37.61977964,126.9166834
1153,B000001902,서울은명초등학교,초등학교,서울특별시 은평구 응암동 114-12,서울특별시 은평구 은평로4길 21-9,37.59769681,126.9182757
1156,B000001903,서울연은초등학교,초등학교,서울특별시 은평구 응암동 759-3,서울특별시 은평구 백련산로2길 35,37.59051222,126.9251778
1157,B000001891,서울수리초등학교,초등학교,서울특별시 은평구 불광동 639,서울특별시 은평구 불광로14길 10-10,37.62030737,126.9341783
1158,B000001890,서울녹번초등학교,초등학교,서울특별시 은평구 녹번동 174,서울특별시 은평구 녹번로1길 1,37.60458339,126.9257463
1160,B000002162,서울고명초등학교,초등학교,서울특별시 강동구 명일동 296-1,서울특별시 강동구 고덕로46길 53,37.55297253,127.1474362
1164,B000002320,서울상도초등학교,초등학교,서울특별시 동작구 상도동 238-2,서울특별시 동작구 성대로21길 62,37.50034777,126.9372288
1168,B000002176,서울상일초등학교,초등학교,서울특별시 강동구 상일동 325-1,서울특별시 강동구 천호대로 1477,37.54757217,127.1726635
1171,B000002081,상명초등학교,초등학교,서울특별시 노원구 중계동 515-1,서울특별시 노원구 덕릉로 541,37.64872348,127.0669678
1175,B000002252,서울우면초등학교,초등학교,서울특별시 서초구 우면동 690,서울특별시 서초구 태봉로 59,37.46471047,127.0237894
1177,B000001882,서울신도초등학교,초등학교,서울특별시 은평구 진관동 108,서울특별시 은평구 진관1로 77-23,37.63296389,126.9291989
