,주소,위도,경도,어린이집 평균거리
262,서울특별시 용산구 한강대로 95,37.52881796,126.9666266,29.033687621112367
263,서울특별시 용산구 한강대로 69,37.52704117,126.9648918,31.493555031170175
264,서울특별시 용산구 한강대로 372,37.5516976,126.9732233,50.20877911942406
265,서울특별시 용산구 한강대로 211,37.5371896,126.9729911,24.136780513471027
266,서울특별시 용산구 한강대로 205,37.5364563,126.9733121,23.226749254663357
267,서울특별시 용산구 청파로 213,37.5386273,126.9703386,34.359526312775955
268,서울특별시 용산구 장문로 27,37.5299597,126.9948167,32.168806488557955
269,서울특별시 용산구 장문로 141,37.5287855,127.0038012,24.86367082068866
270,서울특별시 용산구 이촌로88길 30,37.5172456,126.9768136,27.64309745637198
271,서울특별시 용산구 이촌로88길 15,37.5171632,126.9782605,24.728763307525675
272,서울특별시 용산구 이촌로87길 21,37.5200205,126.9779266,33.13984244261101
273,서울특별시 용산구 이촌로81길 14,37.5195296,126.9795589,28.352222687203128
274,서울특별시 용산구 이촌로64길 15,37.5199669,126.9711068,38.94312069869877
275,서울특별시 용산구 이촌로34길 29,37.5233298,126.9575779,22.348464845223358
276,서울특별시 용산구 이촌로2가길 66,37.5273113,126.9537952,21.298166416306554
277,서울특별시 용산구 이촌로2가길 122,37.5256238,126.9543702,19.493669405136995
278,서울특별시 용산구 이촌로29길 21-7,37.52562083,126.9598495,27.371877418270707
279,서울특별시 용산구 이촌로 347,37.5180956,126.9874041,15.849847264748783
280,서울특별시 용산구 이촌로 324-10,37.5170003,126.9819539,18.468111393259083
281,서울특별시 용산구 이촌로 303,37.5185927,126.9808408,23.891388334451648
282,서울특별시 용산구 이촌로 300,37.51785879,126.9802115,23.923427372902413
283,서울특별시 용산구 이촌로 264,37.5184763,126.9760338,33.331808985964905
284,서울특별시 용산구 이촌로 248,37.5182077,126.9747156,32.80221369715156
285,서울특별시 용산구 이촌로 201,37.5213784,126.9735558,41.1771327170272
286,서울특별시 용산구 이촌로 193,37.5216674,126.9692144,42.01870507350682
287,서울특별시 용산구 이촌로 181,37.5224073,126.9702362,43.64234528870936
288,서울특별시 용산구 이촌로 174,37.5211983,126.9665209,35.35273298854034
289,서울특별시 용산구 이촌로 100-8,37.5240081,126.9579794,23.522485137234447
290,서울특별시 용산구 원효로90길 11,37.5401796,126.9699352,39.08372968473657
291,서울특별시 용산구 원효로 40,37.5340827,126.9485824,43.57437578530445
292,서울특별시 용산구 원효로 216,37.5366333,126.9662337,51.65164986279173
293,서울특별시 용산구 서빙고로51길 68-14,37.5230753,126.9917568,19.854640940586144
294,서울특별시 용산구 서빙고로 67,37.5242783,126.9706853,38.87039202561494
295,서울특별시 용산구 서빙고로 35,37.5251636,126.9694981,36.78715062053831
296,서울특별시 용산구 서빙고로 31,37.5261643,126.9698845,34.428385327231545
297,서울특별시 용산구 서빙고로 17,37.526093,126.967663,34.27795784338444
298,서울특별시 용산구 새창로8길 7,37.5397888,126.9564008,88.95928078822534
299,서울특별시 용산구 새창로8길 157,37.5356703,126.9496998,56.20499167905715
300,서울특별시 용산구 새창로 70,37.5380983,126.9554472,81.57347465778746
301,서울특별시 용산구 삼개로 60,37.5351772,126.9467137,43.30369886432675
302,서울특별시 용산구 보광로5길 40,37.5243671,127.0008993,23.09920043415603
303,서울특별시 용산구 보광로 14,37.5258366,127.0020509,25.053979891167472
304,서울특별시 용산구 백범로99길 40,37.5311678,126.9678516,26.520079641841903
305,서울특별시 용산구 백범로90다길 12,37.5360982,126.9691777,34.50791775279786
306,서울특별시 용산구 백범로90길 90,37.53777777,126.96895,41.200866722267094
307,서울특별시 용산구 백범로90길 26,37.5369449,126.9685337,40.172862386298725
308,서울특별시 용산구 백범로 341,37.5383221,126.967643,46.15409250072926
309,서울특별시 용산구 백범로 313,37.53901892,126.964098,63.722192554645396
310,서울특별시 용산구 백범로 275,37.54031273,126.9596749,85.23160888831185
311,서울특별시 용산구 백범로 260,37.5403072,126.9575243,89.63062314892576
312,서울특별시 용산구 독서당로 46,37.53240086,127.0072591,18.301200211570475
313,서울특별시 용산구 독서당로 111,37.5369784,127.0094956,22.368254458971986
314,서울특별시 용산구 녹사평대로 254,37.5407149,126.9888481,16.603273055831984
315,서울특별시 영등포구 의사당대로 127,37.5202486,126.9263879,47.96829406832809
316,서울특별시 영등포구 의사당대로 110,37.5204822,126.9239858,47.17683930947955
317,서울특별시 영등포구 영중로 154,37.5301096,126.9064223,59.939615618147364
318,서울특별시 영등포구 영중로 145,37.5294615,126.9050948,69.20137971237757
319,서울특별시 영등포구 영신로57길 5,37.5280856,126.9023584,83.88815492284817
320,서울특별시 영등포구 영신로55길 6,37.52721748,126.902504,80.7338193908998
321,서울특별시 영등포구 영신로33길 3,37.519805,126.9003963,44.408211383326424
322,서울특별시 영등포구 영신로 247,37.5299889,126.9027572,83.4627839195028
323,서울특별시 영등포구 영신로 237,37.52864616,126.9032499,80.62123128587758
324,서울특별시 영등포구 영신로 193,37.5254625,126.8997511,78.56202364126445
325,서울특별시 영등포구 영신로 191,37.5244575,126.900447,72.12961049733626
326,서울특별시 영등포구 영신로 183,37.5242149,126.9015338,69.00174697719613
327,서울특별시 영등포구 영등포로64길 11,37.5142647,126.9164533,41.842700525866626
328,서울특별시 영등포구 영등포로62길 42,37.51657277,126.9129531,29.693969302990727
329,서울특별시 영등포구 영등포로3길 9,37.5244017,126.882579,57.093005734986484
330,서울특별시 영등포구 영등포로12길 8,37.5221616,126.8865433,82.43983109485035
331,서울특별시 영등포구 영등포로12길 7,37.5216885,126.8878466,88.25943170534066
332,서울특별시 영등포구 영등포로 351,37.5158124,126.9183651,39.080074017291736
333,서울특별시 영등포구 영등포로 17,37.5237845,126.8835422,66.06676862977572
334,서울특별시 영등포구 영등포로 106,37.5213197,126.8928072,83.4428031069311
335,서울특별시 영등포구 여의동로3길 10,37.5182033,126.925912,44.66532156232082
336,서울특별시 영등포구 여의동로 97,37.5174234,126.927057,46.80503227726796
337,서울특별시 영등포구 여의동로 213,37.5186433,126.9395985,16.10926438496174
338,서울특별시 영등포구 여의동로 143,37.5176189,126.932358,35.34175082255716
339,서울특별시 영등포구 여의대방로9길 5,37.4972694,126.9144293,84.65430730717789
340,서울특별시 영등포구 여의대방로61길 19,37.5143228,126.9238594,51.262369116170944
341,서울특별시 영등포구 여의대방로5길 6,37.4973055,126.9123051,89.90368526656138
342,서울특별시 영등포구 여의대방로43라길 9,37.508155,126.9193471,66.61757044246849
343,서울특별시 영등포구 여의대방로35가길 19,37.5011629,126.9151097,83.56336448831865
344,서울특별시 영등포구 여의대방로 45,37.4963711,126.9112059,88.18888859303455
345,서울특별시 영등포구 여의대방로 25,37.4945833,126.9094978,81.42377414538998
346,서울특별시 영등포구 여의대로6길 17,37.5265231,126.9298286,38.454326991971094
347,서울특별시 영등포구 여의나루로 7,37.520651,126.9207006,41.94273285173142
