,주소,위도,경도,중학교 평균거리
234,서울특별시 은평구 백련산로 37,37.58942882,126.9221197,4.3307686885788454
235,서울특별시 은평구 백련산로 36,37.5879981,126.9240993,5.22637633417305
236,서울특별시 은평구 백련산로 160,37.5989096,126.9266602,3.920050278540691
237,서울특별시 은평구 백련산로 146,37.597442,126.9261538,9.55600102253141
238,서울특별시 은평구 백련산로 127,37.5969983,126.923497,6.933250633881242
239,서울특별시 은평구 갈현로3다길 15,37.6023882,126.9053464,4.682660044055942
240,서울특별시 은평구 갈현로3나길 23,37.6031215,126.9060015,4.942139191149887
241,서울특별시 은평구 갈현로33길 24,37.6221584,126.9142876,7.2889567045476085
242,서울특별시 은평구 갈현로29길 62,37.6232165,126.9109852,9.262136024438211
243,서울특별시 은평구 갈현로29길 11,37.6189819,126.913541,7.738252055785976
244,서울특별시 은평구 갈현로23길 41,37.6181006,126.9100162,9.911346914015233
245,서울특별시 은평구 갈현로1길 36,37.5999489,126.9057246,3.73661224952016
246,서울특별시 은평구 갈현로1길 31,37.599227,126.9068354,3.4621837022542152
247,서울특별시 은평구 갈현로17길 17,37.6115205,126.9092409,9.973070328902454
248,서울특별시 은평구 갈현로15길 53,37.6103948,126.9059489,7.846462898300108
249,서울특별시 은평구 갈현로11길 46,37.6055438,126.9054804,5.669788254750972
250,서울특별시 은평구 가좌로7나길 35,37.5833193,126.9203156,7.165229726082201
251,서울특별시 은평구 가좌로7나길 30,37.5840189,126.9175836,6.319072331569399
252,서울특별시 은평구 가좌로 391,37.6004103,126.9041738,3.9264663058075686
253,서울특별시 은평구 가좌로 344,37.5979944,126.9069618,4.306606149081003
254,서울특별시 은평구 가좌로 334,37.59835762,126.9092382,3.747039576091604
255,서울특별시 용산구 후암로 71-1,37.55185,126.9757889,1.258014843069266
256,서울특별시 용산구 효창원로15길 16,37.5370379,126.9541123,3.150931130956401
257,서울특별시 용산구 효창원로13길 7,37.5353,126.9513,3.1775927220385136
258,서울특별시 용산구 효창원로 88,37.5362695,126.9591984,2.8417447110905427
259,서울특별시 용산구 효창원로 17,37.5348358,126.9497669,2.318867177546201
260,서울특별시 용산구 한남대로 60,37.5345031,127.0079791,1.0977551837703263
261,서울특별시 용산구 한강대로43길 8,37.5321985,126.9697692,
262,서울특별시 용산구 한강대로 95,37.52881796,126.9666266,
263,서울특별시 용산구 한강대로 69,37.52704117,126.9648918,
264,서울특별시 용산구 한강대로 372,37.5516976,126.9732233,3.3097249663748087
265,서울특별시 용산구 한강대로 211,37.5371896,126.9729911,2.5318302814302047
266,서울특별시 용산구 한강대로 205,37.5364563,126.9733121,2.2932619742634013
267,서울특별시 용산구 청파로 213,37.5386273,126.9703386,3.7101466788751547
268,서울특별시 용산구 장문로 27,37.5299597,126.9948167,2.4740726003324784
269,서울특별시 용산구 장문로 141,37.5287855,127.0038012,1.579147227627057
270,서울특별시 용산구 이촌로88길 30,37.5172456,126.9768136,2.0174907716377652
271,서울특별시 용산구 이촌로88길 15,37.5171632,126.9782605,1.823386334628489
272,서울특별시 용산구 이촌로87길 21,37.5200205,126.9779266,3.6200490396601426
273,서울특별시 용산구 이촌로81길 14,37.5195296,126.9795589,2.3511850107467813
274,서울특별시 용산구 이촌로64길 15,37.5199669,126.9711068,2.3494441233049774
275,서울특별시 용산구 이촌로34길 29,37.5233298,126.9575779,
276,서울특별시 용산구 이촌로2가길 66,37.5273113,126.9537952,1.2982728461025486
277,서울특별시 용산구 이촌로2가길 122,37.5256238,126.9543702,1.047256383302339
278,서울특별시 용산구 이촌로29길 21-7,37.52562083,126.9598495,
279,서울특별시 용산구 이촌로 347,37.5180956,126.9874041,1.2889121676560016
280,서울특별시 용산구 이촌로 324-10,37.5170003,126.9819539,1.3080669595400178
281,서울특별시 용산구 이촌로 303,37.5185927,126.9808408,1.732403861869816
282,서울특별시 용산구 이촌로 300,37.51785879,126.9802115,1.7033242951076406
283,서울특별시 용산구 이촌로 264,37.5184763,126.9760338,2.8723098762252506
284,서울특별시 용산구 이촌로 248,37.5182077,126.9747156,2.6264500517638143
285,서울특별시 용산구 이촌로 201,37.5213784,126.9735558,5.827789030543337
286,서울특별시 용산구 이촌로 193,37.5216674,126.9692144,1.807889444504262
287,서울특별시 용산구 이촌로 181,37.5224073,126.9702362,2.1184565320018534
288,서울특별시 용산구 이촌로 174,37.5211983,126.9665209,1.2630950581642522
289,서울특별시 용산구 이촌로 100-8,37.5240081,126.9579794,
290,서울특별시 용산구 원효로90길 11,37.5401796,126.9699352,5.3062247331196986
291,서울특별시 용산구 원효로 40,37.5340827,126.9485824,1.8860207957496578
292,서울특별시 용산구 원효로 216,37.5366333,126.9662337,2.7878567144539717
293,서울특별시 용산구 서빙고로51길 68-14,37.5230753,126.9917568,4.366121584267908
294,서울특별시 용산구 서빙고로 67,37.5242783,126.9706853,1.9265705981885177
295,서울특별시 용산구 서빙고로 35,37.5251636,126.9694981,1.511254801885268
296,서울특별시 용산구 서빙고로 31,37.5261643,126.9698845,1.4083676889189332
297,서울특별시 용산구 서빙고로 17,37.526093,126.967663,1.1719795448036985
298,서울특별시 용산구 새창로8길 7,37.5397888,126.9564008,2.5762137546547543
299,서울특별시 용산구 새창로8길 157,37.5356703,126.9496998,2.168902899371308
300,서울특별시 용산구 새창로 70,37.5380983,126.9554472,2.278246222672657
301,서울특별시 용산구 삼개로 60,37.5351772,126.9467137,1.4223023244706863
302,서울특별시 용산구 보광로5길 40,37.5243671,127.0008993,4.953843435137586
303,서울특별시 용산구 보광로 14,37.5258366,127.0020509,3.5577394003326694
304,서울특별시 용산구 백범로99길 40,37.5311678,126.9678516,
305,서울특별시 용산구 백범로90다길 12,37.5360982,126.9691777,2.5831667728821164
306,서울특별시 용산구 백범로90길 90,37.53777777,126.96895,3.381778217251212
307,서울특별시 용산구 백범로90길 26,37.5369449,126.9685337,2.960570976364266
308,서울특별시 용산구 백범로 341,37.5383221,126.967643,3.8178554915910787
309,서울특별시 용산구 백범로 313,37.53901892,126.964098,4.318070680150083
310,서울특별시 용산구 백범로 275,37.54031273,126.9596749,3.8368433327448486
311,서울특별시 용산구 백범로 260,37.5403072,126.9575243,2.6234538785708614
312,서울특별시 용산구 독서당로 46,37.53240086,127.0072591,
313,서울특별시 용산구 독서당로 111,37.5369784,127.0094956,1.651248351824155
314,서울특별시 용산구 녹사평대로 254,37.5407149,126.9888481,2.8768395301822554
315,서울특별시 영등포구 의사당대로 127,37.5202486,126.9263879,3.42197088958731
316,서울특별시 영등포구 의사당대로 110,37.5204822,126.9239858,5.9649928873220555
317,서울특별시 영등포구 영중로 154,37.5301096,126.9064223,4.173750873851611
318,서울특별시 영등포구 영중로 145,37.5294615,126.9050948,3.9639405928440343
319,서울특별시 영등포구 영신로57길 5,37.5280856,126.9023584,4.220623754806411
320,서울특별시 영등포구 영신로55길 6,37.52721748,126.902504,3.8188282330951777
321,서울특별시 영등포구 영신로33길 3,37.519805,126.9003963,2.5736884190664173
322,서울특별시 영등포구 영신로 247,37.5299889,126.9027572,5.120545091994711
323,서울특별시 영등포구 영신로 237,37.52864616,126.9032499,4.374386316782994
324,서울특별시 영등포구 영신로 193,37.5254625,126.8997511,3.5956172529405768
325,서울특별시 영등포구 영신로 191,37.5244575,126.900447,2.553757955775852
326,서울특별시 영등포구 영신로 183,37.5242149,126.9015338,2.418798732698244
327,서울특별시 영등포구 영등포로64길 11,37.5142647,126.9164533,3.585646585862542
328,서울특별시 영등포구 영등포로62길 42,37.51657277,126.9129531,5.319372477990364
329,서울특별시 영등포구 영등포로3길 9,37.5244017,126.882579,2.9557704628945887
330,서울특별시 영등포구 영등포로12길 8,37.5221616,126.8865433,3.4307389063819675
331,서울특별시 영등포구 영등포로12길 7,37.5216885,126.8878466,3.606087251844888
332,서울특별시 영등포구 영등포로 351,37.5158124,126.9183651,3.829998522640606
333,서울특별시 영등포구 영등포로 17,37.5237845,126.8835422,2.9179624023112307
334,서울특별시 영등포구 영등포로 106,37.5213197,126.8928072,3.612785694994801
335,서울특별시 영등포구 여의동로3길 10,37.5182033,126.925912,5.562510573501926
336,서울특별시 영등포구 여의동로 97,37.5174234,126.927057,3.2132778592835978
337,서울특별시 영등포구 여의동로 213,37.5186433,126.9395985,1.4630479553007103
338,서울특별시 영등포구 여의동로 143,37.5176189,126.932358,2.6490988167637455
339,서울특별시 영등포구 여의대방로9길 5,37.4972694,126.9144293,7.52785999432574
340,서울특별시 영등포구 여의대방로61길 19,37.5143228,126.9238594,3.863108666806772
341,서울특별시 영등포구 여의대방로5길 6,37.4973055,126.9123051,7.461239612089049
342,서울특별시 영등포구 여의대방로43라길 9,37.508155,126.9193471,6.32059710251272
343,서울특별시 영등포구 여의대방로35가길 19,37.5011629,126.9151097,7.5662853515761626
344,서울특별시 영등포구 여의대방로 45,37.4963711,126.9112059,7.295539059664859
345,서울특별시 영등포구 여의대방로 25,37.4945833,126.9094978,5.546237363206308
346,서울특별시 영등포구 여의대로6길 17,37.5265231,126.9298286,2.544015465642175
347,서울특별시 영등포구 여의나루로 7,37.520651,126.9207006,3.223692276198005
348,서울특별시 영등포구 여의나루로 126,37.52594,126.932655,2.8614102942983064
349,서울특별시 영등포구 여의나루로 121,37.5270586,126.9311508,1.883458071325587
350,서울특별시 영등포구 양평로30길 51,37.5444139,126.8878627,1.0719741289138434
