번호,주소,시군구,경도,위도,소방서 평균거리,초등학교 평균거리,우체국 평균거리,지하철 평균거리,전통시장 평균거리,편의점 평균거리,유치원 평균거리,중학교 평균거리,어린이집 평균거리
106,서울특별시 중구 왕십리로39길 30,중구,127.0267431,37.5631656,,11.37363295,4.520200732,8.729315726,4.509769831,125.3343788,16.26856563,2.56551651,106.4994012
107,서울특별시 중구 소공로 46,중구,126.9832431,37.5595151,1.019294138,7.631398074,6.173739088,12.39548139,22.42148922,187.6340617,8.117921533,,26.16010661
108,서울특별시 중구 소공로 35,중구,126.9815848,37.5585392,,6.771249487,6.581351257,9.568647937,22.35533935,176.5243243,8.063475042,,27.6097683
109,서울특별시 중구 서애로1길 34,중구,127.0000706,37.56070587,1.660996478,5.806684272,7.92874379,11.24291487,9.488832047,136.5449391,4.036285768,3.603407497,12.83708036
110,서울특별시 중구 만리재로33길 21,중구,126.9669575,37.5558961,,6.16599462,4.213001942,8.614076447,2.667233244,145.552339,4.501849793,4.313891071,49.06305063
111,서울특별시 중구 만리재로 177,중구,126.9659254,37.55446167,,7.343991894,3.610827291,8.162173134,2.925627026,133.6279391,4.88420033,5.341665918,60.62420771
112,서울특별시 중구 만리재로 175,중구,126.9630956,37.55460908,,7.982056274,2.96834561,8.301158777,3.675264458,116.6160352,5.085798422,7.388106653,64.22577029
113,서울특별시 중구 마른내로 72,중구,126.9958147,37.56355333,1.563092536,4.810159102,10.05466457,18.20061062,21.16082902,174.4132006,4.306386134,4.028179106,17.76255905
114,서울특별시 중구 동호로10길 30,중구,127.0147458,37.5548919,,22.54235897,9.885592855,22.8746122,5.004001143,225.8947297,25.18651316,13.25795007,141.6889637
115,서울특별시 중구 동호로10길 30,중구,127.015698,37.5549165,,22.54235897,9.885592855,22.8746122,5.004001143,225.8947297,25.18651316,13.25795007,141.6889637
116,서울특별시 중구 다산로46길 17,중구,127.0170907,37.56686448,,8.382261155,4.215991886,16.45558377,32.17061204,188.3302369,6.172891613,1.96135966,53.18089689
117,서울특별시 중구 다산로42나길 46,중구,127.0172705,37.5623442,,12.46496072,5.32258874,14.14109898,11.78439658,159.2061048,8.603447822,4.823182384,60.07485909
118,서울특별시 중구 다산로36길 110,중구,127.0195121,37.5592169,,14.77272261,5.413636579,11.65201147,1.191322805,130.0691003,12.68590196,7.372293284,89.30167017
119,서울특별시 중구 다산로36길 109,중구,127.0217626,37.5599909,,14.30970017,3.918101709,11.04555603,2.312450671,123.1412462,11.91048701,5.101048865,102.2104569
120,서울특별시 중구 다산로 32,중구,127.0072969,37.5467804,,11.00491783,4.87270122,11.83882629,2.530224718,119.2887774,18.57688158,7.768407718,80.46083231
121,서울특별시 중구 다산로 32,중구,127.0072969,37.5467804,,11.00491783,4.87270122,11.83882629,2.530224718,119.2887774,18.57688158,7.768407718,80.46083231
122,서울특별시 중구 난계로11길 30,중구,127.022403,37.566612,,7.996725963,4.731275047,9.877566774,12.31765818,166.4817443,9.683988246,2.063896417,79.89727678
123,서울특별시 중구 난계로 130,중구,127.02439,37.56297183,,11.32256805,4.150502701,8.558755245,4.02302975,133.128708,14.07716961,3.569288523,104.1015751
124,서울특별시 종로구 홍지문길 64,종로구,126.958162,37.604131,,5.8380727,2.434715022,,,49.64694334,4.621471021,3.780530601,11.10285335
125,서울특별시 종로구 평창문화로 172,종로구,126.9783329,37.6107886,,,,,,20.38290791,2.466253237,,10.08304424
126,서울특별시 종로구 평창문화로 140,종로구,126.9756922,37.6091332,,,,,,23.70135615,1.654734721,,3.568856482
127,서울특별시 종로구 평창12길 8-22,종로구,126.9689263,37.6082039,,1.137884169,,,,23.26125379,,,5.287869046
128,서울특별시 종로구 통일로18길 9,종로구,126.9572222,37.5771174,,5.118645861,5.481961515,3.481682142,1.297289943,43.78184125,3.298028694,2.671122551,20.48748368
129,서울특별시 종로구 통일로18길 34,종로구,126.9594942,37.57600084,,6.488602184,5.665690573,4.266396772,2.567339652,54.83563473,5.956709961,4.487575583,26.30760776
130,서울특별시 종로구 통일로 246-20,종로구,126.960306,37.5751953,,6.850190846,5.516402899,4.138654581,2.752880594,61.73258468,6.653863633,5.053695774,30.79643876
131,서울특별시 종로구 통일로 246-11,종로구,126.9584344,37.5757134,,6.342643911,7.025151249,6.368524407,1.711193629,54.32334694,4.666426338,4.227701719,25.53494696
132,서울특별시 종로구 통일로 230,종로구,126.9586294,37.57436687,,6.577995729,7.880463495,12.87487797,2.261875478,59.55343605,4.905040129,4.636141557,31.94541231
133,서울특별시 종로구 창경궁로 265,종로구,126.9992985,37.5859111,,3.276249802,6.846483133,3.422746698,1.180403142,101.2691156,9.388929531,5.400786199,16.36507831
134,서울특별시 종로구 지봉로5길 7,종로구,127.0142935,37.574221,,7.647347862,7.29215268,12.38879456,35.81715248,144.2113683,8.283555605,3.191878701,40.88534158
135,서울특별시 종로구 종로 347,종로구,127.0161891,37.5738554,,5.779131501,7.104685429,14.75967534,29.22247987,157.0630238,7.588414511,3.097994346,43.38977161
136,서울특별시 종로구 종로 183,종로구,126.9983959,37.571436,,3.885199319,10.53032555,13.67083431,40.8542771,131.3294277,1.327075267,2.626332091,15.85858501
137,서울특별시 종로구 숭인동길 21,종로구,127.0211388,37.5759616,,7.387162393,8.454340331,10.93365364,8.648292493,139.8070277,7.96411291,2.324233434,47.0060132
138,서울특별시 종로구 송월길 99,종로구,126.9641524,37.56920542,,9.472538428,5.944730657,4.174173698,3.018895653,104.0794059,6.205481875,9.378602212,55.26930501
139,서울특별시 종로구 송월길 155,종로구,126.961547,37.5713895,,7.906891214,6.05017057,3.237232596,13.97406452,83.57418032,6.26389156,7.494605715,48.95740176
140,서울특별시 종로구 송월길 130,종로구,126.964497,37.57223484,,8.482595072,5.6310648,4.032643407,3.414081498,96.03580324,7.7987249,7.848845479,52.13292043
141,서울특별시 종로구 사직로8길 4,종로구,126.9686008,37.5744035,,5.867533132,5.580949103,5.107315926,4.778373909,91.66405901,9.016136875,5.356461249,44.65606944
142,서울특별시 종로구 사직로8길 34,종로구,126.9720155,37.5736451,,4.206491835,6.189474296,5.209902086,3.424210903,110.1630486,7.704987184,4.502654114,48.25783726
143,서울특별시 종로구 동망산길 47,종로구,127.015931,37.5809831,,11.03144044,6.572574588,8.155542356,2.451540011,110.0079417,20.03981637,3.042138074,50.20645312
144,서울특별시 종로구 동망산길 19,종로구,127.0140195,37.5805173,,10.24841926,5.153499955,6.355105412,4.375696656,109.4609011,17.60037718,3.32258501,48.34161028
145,서울특별시 종로구 돈화문로11가길 59,종로구,126.990057,37.5751303,,8.190063854,5.683831112,10.10165879,9.029197528,139.2787912,4.737344318,2.26691442,19.58674077
146,서울특별시 종로구 대학로 33,종로구,127.0018609,37.57403883,,6.073414412,8.386070272,10.76696451,38.67154028,110.3389148,2.38646383,2.220516973,20.04290198
147,서울특별시 종로구 낙산길 198,종로구,127.0117627,37.5806115,,8.836692909,3.782979861,7.422580491,4.488479681,101.20204,14.59912246,5.005258111,46.63267605
148,서울특별시 종로구 경교장길 35,종로구,126.9651711,37.56885493,,9.381790192,5.464693051,4.194386537,2.337636492,109.2462373,6.15083578,9.177128647,53.89615429
149,서울특별시 은평구 통일로 972,은평구,126.9199162,37.63017615,,5.633714238,2.527711937,1.333938077,2.468993069,56.58247069,8.759430409,2.799289391,42.78606379
150,서울특별시 은평구 통일로 796,은평구,126.9268481,37.6161545,2.508716265,12.60395116,1.602316302,7.830640651,6.2575208,140.5386622,11.61106838,2.268882347,55.83068424
151,서울특별시 은평구 통일로 792,은평구,126.9269016,37.61558755,2.314118963,11.7030425,2.406246578,8.64187468,5.481929427,138.0049321,11.50695854,2.130384735,56.1527333
152,서울특별시 은평구 통일로 780,은평구,126.9283299,37.6149349,1.732098888,10.99555357,2.410260946,7.843172826,4.673735572,123.0848319,10.28271664,1.02204451,58.60652455
153,서울특별시 은평구 통일로 661,은평구,126.9337516,37.60557539,,7.430249477,2.287786303,5.815758935,4.363807772,83.10101277,10.88396878,,58.16319021
154,서울특별시 은평구 통일로 630,은평구,126.9359704,37.602836,,5.907419058,1.360806388,4.12260999,1.834199516,55.56429242,11.20567918,,44.04924245
155,서울특별시 은평구 통일로 610,은평구,126.9358637,37.60197106,,5.562699565,1.205702004,7.217834558,2.003783571,50.91095202,10.61783681,,43.02779674
156,서울특별시 은평구 통일로 590,은평구,126.9370209,37.6001439,,3.669958694,,9.072348981,1.729843023,48.66375729,8.443166571,1.081776001,41.60823094
157,서울특별시 은평구 통일로 586-19,은평구,126.937924,37.6000878,,4.147750956,,5.466121903,2.417528706,50.02548456,8.880199247,1.073822183,39.33071908
